Team Name,College,State,Problem Statement,Domain,Score (out of 100),Prize Won,Date,Members Count
InnovateTech,IIT Delhi,Delhi,Smart Traffic Management Using IoT,Smart City,92,First Prize,2025-12-10,4
GreenMinds,NIT Surat,Gujarat,AI-based Crop Disease Detection,Agriculture,88,Second Prize,2025-12-10,3
EduBridge,BITS Pilani,Rajasthan,Accessible Learning Platform for Rural India,Education,85,Third Prize,2025-12-10,4
DataDrivenDev,IIT Bombay,Maharashtra,Real-time Air Quality Monitoring,Environment,82,Merit,2025-12-10,4
CodeCrafters,DTU Delhi,Delhi,Blockchain for Supply Chain Transparency,FinTech,80,Merit,2025-12-10,3
NeuralNexus,NIT Trichy,Tamil Nadu,Mental Health Chatbot for Students,Healthcare,79,,2025-12-10,4
SmartGrid,IIT Madras,Tamil Nadu,Renewable Energy Optimization System,Energy,78,,2025-12-10,3
RuralConnect,JNTU Hyderabad,Telangana,Digital Literacy App for Villages,Education,77,,2025-12-10,4
CyberShield,IIIT Hyderabad,Telangana,Phishing Detection Using NLP,Cybersecurity,76,,2025-12-10,3
AquaPure,COEP Pune,Maharashtra,Low-cost Water Quality Sensor Network,Environment,75,,2025-12-10,4
MediTrack,RV College Bangalore,Karnataka,AI Patient Queue Management,Healthcare,74,,2025-12-10,4
AgriBot,Anna University,Tamil Nadu,Autonomous Farming Robot Prototype,Agriculture,73,,2025-12-10,3
WasteWise,VJTI Mumbai,Maharashtra,Smart Waste Segregation System,Smart City,72,,2025-12-10,4
EduAR,NIT Warangal,Telangana,Augmented Reality Science Labs,Education,71,,2025-12-10,3
SafeRoute,PSG Tech Coimbatore,Tamil Nadu,Women Safety Navigation App,Social Impact,70,,2025-12-10,4
SkillMap,IIT Kanpur,Uttar Pradesh,Skill Gap Analysis for Students,Education,69,,2025-12-10,3
SolarSense,PEC Chandigarh,Punjab,Solar Panel Efficiency Optimizer,Energy,68,,2025-12-10,4
FarmLink,NIT Rourkela,Odisha,Farmer-to-Consumer Direct Platform,Agriculture,67,,2025-12-10,4
HealthPulse,NSUT Delhi,Delhi,Wearable Health Monitor for Elderly,Healthcare,66,,2025-12-10,3
CleanAir,IIT Roorkee,Uttarakhand,Indoor Air Purification System,Environment,65,,2025-12-10,4
LangBridge,NIT Jaipur,Rajasthan,Multi-language Document Translator,AI/ML,88,Second Prize,2026-01-28,4
DeepSoil,IIT Kharagpur,West Bengal,Soil Health Prediction Model,Agriculture,85,First Prize,2026-01-28,3
FloodWatch,NIT Durgapur,West Bengal,Flood Early Warning System,Disaster Mgmt,82,Third Prize,2026-01-28,4
TrafficAI,Jadavpur University,West Bengal,Intelligent Traffic Signal Control,Smart City,78,Merit,2026-01-28,4
MedAssist,IIT Guwahati,Assam,AI Diagnostic Assistant for Rural Clinics,Healthcare,76,,2026-01-28,3
EcoTrack,NIT Silchar,Assam,Carbon Footprint Tracker App,Environment,74,,2026-01-28,4
SmartFarm,BIT Mesra,Jharkhand,Precision Agriculture Dashboard,Agriculture,73,,2026-01-28,3
CityPlan,Heritage Institute Kolkata,West Bengal,Urban Planning Simulation Tool,Smart City,71,,2026-01-28,4
WaterSmart,NIT Jamshedpur,Jharkhand,Water Distribution Optimization,Infrastructure,70,,2026-01-28,4
EduBot,NIT Agartala,Tripura,Personalized Learning AI Tutor,Education,68,,2026-01-28,3
PunjabTech,Thapar University,Punjab,Smart Warehouse Management,Logistics,86,First Prize,2026-02-05,4
NorthStar,PEC Chandigarh,Punjab,Satellite Image Analysis for Farming,Agriculture,83,Second Prize,2026-02-05,3
InnoLearn,Chitkara University,Punjab,Gamified Coding Platform for Schools,Education,80,Third Prize,2026-02-05,4
DataVault,GNDEC Ludhiana,Punjab,Secure Health Records on Blockchain,Healthcare,77,Merit,2026-02-05,4
SmartGrid,NIT Jalandhar,Punjab,Grid Load Balancing Algorithm,Energy,75,,2026-02-05,3
AgriDrone,LPU Phagwara,Punjab,Drone-based Crop Monitoring,Agriculture,73,,2026-02-05,4
RuralBank,NIT Hamirpur,Himachal Pradesh,Digital Banking for Unbanked Villages,FinTech,72,,2026-02-05,3
CleanWater,IIT Mandi,Himachal Pradesh,IoT Water Treatment Monitor,Environment,70,,2026-02-05,4
EduAccess,IIIT Una,Himachal Pradesh,Sign Language to Text Converter,Accessibility,69,,2026-02-05,4
HealthNet,SLIET Longowal,Punjab,Telemedicine Platform for PHCs,Healthcare,67,,2026-02-05,3
